x;phi
0.5518591;1.976948052
0.553816047;2.002772985
0.555772994;2.027150734
0.557729941;2.050361639
0.559686888;2.072906386
0.561643836;2.09542677
0.563600783;2.118591257
0.56555773;2.143074614
0.567514677;2.169146216
0.569471624;2.196823224
0.571428571;2.225854966
0.573385519;2.255773328
0.575342466;2.285983092
0.577299413;2.315867755
0.57925636;2.344888638
0.581213307;2.372657481
0.583170254;2.398970269
0.585127202;2.423800794
0.587084149;2.447262892
0.589041096;2.469556861
0.590998043;2.490916182
0.59295499;2.511565905
0.594911937;2.531696843
0.596868885;2.551441367
0.598825832;2.570909578
0.600782779;2.590159086
0.602739726;2.609211769
0.604696673;2.628073993
0.60665362;2.646745007
0.608610568;2.665220278
0.610567515;2.683490676
0.612524462;2.701540681
0.614481409;2.719349225
0.616438356;2.736894851
0.618395303;2.754163816
0.62035225;2.771157062
0.622309198;2.787891153
0.624266145;2.804389903
0.626223092;2.820667084
0.628180039;2.836696391
0.630136986;2.852393299
0.632093933;2.867641507
0.634050881;2.882289203
0.636007828;2.896196214
0.637964775;2.909272471
0.639921722;2.921504914
0.641878669;2.932963812
0.643835616;2.943787271
0.645792564;2.954150592
0.647749511;2.964231252
0.649706458;2.974179026
0.651663405;2.984095309
0.653620352;2.994019261
0.655577299;3.003915164
0.657534247;3.013657732
0.659491194;3.023013755
0.661448141;3.031579699
0.663405088;3.038974804
0.665362035;3.044812544
0.667318982;3.048810925
0.66927593;3.050865049
0.671232877;3.051080557
0.673189824;3.049754149
0.675146771;3.047304322
0.677103718;3.044171525
0.679060665;3.040716696
0.681017613;3.037147673
0.68297456;3.033494161
0.684931507;3.029636747
0.686888454;3.025378537
0.688845401;3.020534672
0.690802348;3.015009756
0.692759295;3.008811255
0.694716243;3.002145841
0.69667319;2.99524151
0.698630137;2.988295287
0.700587084;2.981426306
0.702544031;2.97464937
0.704500978;2.967877295
0.706457926;2.960943659
0.708414873;2.953634535
0.71037182;2.945720193
0.712328767;2.936983066
0.714285714;2.927242888
0.716242661;2.916381203
0.718199609;2.90436485
0.720156556;2.891263152
0.722113503;2.877249669
0.72407045;2.862566341
0.726027397;2.847527829
0.727984344;2.832372298
0.729941292;2.817186568
0.731898239;2.801889141
0.733855186;2.786236715
0.735812133;2.769876416
0.73776908;2.752431262
0.739726027;2.733594852
0.741682975;2.713207128
0.743639922;2.691288429
0.745596869;2.668022654
0.747553816;2.643697709
0.749510763;2.618626172
0.75146771;2.593075375
0.753424658;2.567230898
0.755381605;2.541200479
0.757338552;2.515061297
0.759295499;2.488910196
0.761252446;2.462866198
0.763209393;2.437058171
0.765166341;2.411581532
0.767123288;2.386456717
0.769080235;2.361612128
0.771037182;2.336902975
0.772994129;2.31216087
0.774951076;2.287254647
0.776908023;2.262137101
0.778864971;2.236857986
0.780821918;2.211538381
0.782778865;2.18631882
0.784735812;2.161305218
0.786692759;2.136536391
0.788649706;2.111994179
0.790606654;2.087590201
0.792563601;2.063249768
0.794520548;2.038901387
0.796477495;2.014462382
0.798434442;1.989817132
0.800391389;1.964804871
0.802348337;1.939229431
0.804305284;1.912893676
0.806262231;1.885651333
0.808219178;1.857462182
0.810176125;1.828434534
0.812133072;1.798841491
0.81409002;1.769103259
0.816046967;1.739735207
0.818003914;1.711269068
0.819960861;1.684244189
0.821917808;1.658908897
0.823874755;1.635251342
0.825831703;1.613053882
0.82778865;1.591904821
0.829745597;1.571270666
0.831702544;1.550586495
0.833659491;1.529346751
0.835616438;1.507179543
0.837573386;1.483891601
0.839530333;1.459477597
0.84148728;1.434095319
0.843444227;1.408015317
0.845401174;1.381558403
0.847358121;1.355035535
0.849315068;1.328701863
0.851272016;1.302744723
0.853228963;1.277254177
0.85518591;1.252209152
0.857142857;1.227548213
0.859099804;1.203175563
0.861056751;1.178982988
0.863013699;1.154872893
0.864970646;1.130780167
0.866927593;1.106688525
0.86888454;1.082636533
0.870841487;1.058710617
0.872798434;1.035026284
0.874755382;1.011702859
0.876712329;0.988839239
0.878669276;0.966497351
0.880626223;0.944696335
0.88258317;0.923420856
0.884540117;0.902633442
0.886497065;0.882220506
0.888454012;0.862081174
0.890410959;0.842105464
0.892367906;0.82219034
0.894324853;0.802262404
0.8962818;0.782301446
0.898238748;0.76235591
0.900195695;0.742542145
0.902152642;0.723024135
0.904109589;0.703977446
0.906066536;0.685547529
0.908023483;0.667815432
0.909980431;0.650782038
0.911937378;0.634375395
0.913894325;0.618477122
0.915851272;0.60297231
0.917808219;0.587722531
0.919765166;0.572645648
0.921722114;0.5576831
0.923679061;0.542782793
0.925636008;0.527889051
0.927592955;0.512942144
0.929549902;0.497887708
0.931506849;0.482691804
0.933463796;0.467355189
0.935420744;0.451920913
0.937377691;0.436471921
0.939334638;0.421118652
0.941291585;0.405979522
0.943248532;0.391158785
0.945205479;0.376726503
0.947162427;0.362719821
0.949119374;0.349090298
0.951076321;0.335734918
0.953033268;0.322531194
0.954990215;0.309347824
0.956947162;0.296069549
0.95890411;0.282619954
0.960861057;0.26897695
0.962818004;0.255176736
0.964774951;0.241304643
0.966731898;0.227474642
0.968688845;0.21380248
0.970645793;0.200379156
0.97260274;0.187251413
0.974559687;0.174413966
0.976516634;0.161815083
0.978473581;0.149375265
0.980430528;0.137004484
0.982387476;0.124639294
0.984344423;0.112268289
0.98630137;0.099932712
0.988258317;0.087725948
0.990215264;0.07578637
0.992172211;0.064285545
0.994129159;0.053413218
0.996086106;0.043359859
0.998043053;0.034297618
1;0.026361273
