study,sref,treatment,mid,hid,ts,tid,uid,investment,ttype,netsales,longs,shorts,numshares,mprice,price
1,(36),m2,63,1,2016nov08 11:49:06.449,52739,790,-3,1,-149.70943,154.8109,-304.51883,3.6591964,.81985217,.1828593
1,(36),m2,63,1,2016nov08 11:49:37.571,52742,790,-2.4200001,1,-146.73976,154.8109,-301.5498,2.9696596,.81490827,.18733849
1,(36),m2,63,1,2016nov08 14:03:36.079,52757,802,2,1,-136.49915,165.05153,-301.5498,10.240623,.19530062,.20343027
1,(36),m2,63,1,2016nov08 14:38:21.425,52762,797,3,1,-122.5486,179.00208,-301.5498,13.950544,.21504538,.22697245
1,(36),m2,63,1,2016nov08 14:38:57.711,52766,797,3,1,-109.95786,191.59282,-301.5498,12.590743,.23827028,.24981888
1,(36),m2,63,1,2016nov08 14:39:53.512,52770,797,6,1,-87.841652,213.70901,-301.5498,22.116205,.2712943,.29350603
1,(36),m2,63,1,2016nov08 14:40:21.685,52773,797,3,1,-77.969292,223.58138,-301.5498,9.8723593,.30387872,.31438607
1,(36),m2,63,1,2016nov08 14:40:49.547,52776,797,3,1,-68.723236,232.82744,-301.5498,9.2460566,.32446265,.33464903
1,(36),m2,63,1,2016nov08 14:41:55.161,52780,797,5,1,-54.468426,247.08224,-301.5498,14.25481,.35075879,.3670986
1,(36),m2,63,1,2016nov08 17:27:04.297,52799,806,30,-1,-98.47348,247.08224,-345.55487,-44.005051,-.68173993,.27195331
1,(36),m2,63,1,2016nov08 18:39:21.456,52811,784,20,-1,-125.02519,247.08224,-372.10657,-26.551708,-.7532472,.22265653
1,(36),m2,63,1,2016nov08 19:11:47.915,52820,783,10,-1,-137.71446,247.08224,-384.79584,-12.689277,-.78806698,.20146799
1,(36),m2,63,1,2016nov08 19:15:36.548,52824,783,20,-1,-162.18634,247.08224,-409.26773,-24.471886,-.81726438,.16494805
1,(36),m2,63,1,2016nov08 19:28:37.126,52838,778,10,1,-112.86314,296.40543,-409.26773,49.323196,.20274436,.24441375
1,(36),m2,63,1,2016nov08 19:52:55.460,52851,790,5,-1,-119.42844,296.40543,-415.83304,-6.5652976,-.76158011,.23249355
1,(36),m2,63,1,2016nov08 19:54:37.656,52852,790,-4,1,-114.18449,296.40543,-410.58875,5.2439475,.76278412,.24198177
1,(36),m2,63,1,2016nov08 20:30:06.994,52858,817,5,-1,-120.7294,296.40543,-417.13364,-6.54491,-.76395243,.2301802
1,(36),m2,63,1,2016nov08 20:53:45.112,52882,766,5,-1,-127.17713,296.40543,-423.58139,-6.4477339,-.77546626,.21895419
1,(36),m2,63,1,2016nov08 21:00:39.588,52886,787,10,-1,-139.80991,296.40543,-436.21414,-12.632772,-.79159188,.19811794
1,(36),m2,63,1,2016nov08 21:01:57.682,52887,790,-1.0599999,1,-138.48628,296.40543,-434.89316,1.3236297,.80082816,.20022915
1,(36),m2,63,1,2016nov08 21:18:41.027,52916,790,2.1600001,-1,-141.17982,296.40543,-437.5867,-2.6935449,-.80191725,.19595058
1,(36),m2,63,1,2016nov08 21:22:09.006,52918,790,1.5,-1,-143.04199,296.40543,-439.44888,-1.8621713,-.8055113,.19303326
1,(36),m2,63,1,2016nov08 21:40:07.980,52920,832,5,-1,-149.20187,296.40543,-445.60876,-6.1598806,-.81170404,.18361892
1,(36),m2,63,1,2016nov08 22:56:01.090,52931,761,4,-1,-154.07993,296.40543,-450.48679,-4.8780465,-.82000041,.17641911
1,(36),m2,63,1,2016nov09 00:04:18.742,52972,814,5,-1,-160.11922,296.40543,-456.52609,-6.0392947,-.82791126,.16781506
1,(36),m2,63,1,2016nov09 00:34:04.520,52976,790,.5,-1,-160.71974,296.40543,-457.12662,-.60052055,-.83261096,.16697808
1,(36),m2,63,1,2016nov09 00:52:49.590,52978,743,2,1,-149.29924,307.82596,-457.12662,11.420508,.17512356,.18347301
1,(36),m2,63,1,2016nov09 01:06:39.649,52995,790,-3.6900001,1,-144.76103,307.82596,-452.58838,4.5382147,.81309509,.19036961
1,(36),m2,63,1,2016nov09 02:58:24.622,53017,755,10,-1,-156.97394,307.82596,-464.8013,-12.212912,-.81880558,.17225355
1,(36),m2,63,1,2016nov09 05:00:13.207,53025,790,-.50999999,1,-156.35748,307.82596,-464.18329,.61646223,.82730126,.17313428
1,(36),m2,63,1,2016nov09 08:19:48.843,53065,812,10,-1,-168.33046,307.82596,-476.15628,-11.972978,-.83521414,.15665838
1,(36),m2,63,1,2016nov09 08:19:57.220,53066,812,10,-1,-180.08275,307.82596,-487.90854,-11.752284,-.85089844,.14175037
1,(36),m2,63,1,2016nov09 13:34:13.281,53076,797,4,1,-154.78099,333.12772,-487.90854,25.301758,.15809178,.17540281
1,(36),m2,63,1,2016nov09 18:20:24.794,53088,782,10,1,-107.80585,380.10284,-487.90854,46.97514,.21287856,.25387362
1,(36),m2,63,1,2016nov09 19:34:21.745,53094,776,10,-1,-120.99249,380.10284,-501.09518,-13.186644,-.7583431,.22971433
1,(36),m2,63,1,2016nov09 22:19:05.297,53096,784,5,-1,-127.43645,380.10284,-507.53915,-6.4439602,-.77592039,.21851102
1,(36),m2,63,1,2016nov09 23:30:58.572,53099,845,5,-1,-133.79091,380.10284,-513.89362,-6.3544574,-.78684926,.20785412
1,(36),m2,63,1,2016nov09 23:37:08.027,53100,791,25,-1,-164.43285,380.10284,-544.53552,-30.641937,-.81587529,.16187695
1,(36),m2,63,1,2016nov10 00:20:29.030,53104,749,5,-1,-170.37041,380.10284,-550.47308,-5.9375582,-.84209698,.1539821
1,(36),m2,63,1,2016nov10 02:50:24.895,53122,743,5,1,-141.62961,408.84363,-550.47308,28.740791,.17396876,.1952429
1,(36),m2,63,1,2016nov10 11:50:36.566,53136,776,5,-1,-147.80589,408.84363,-556.64941,-6.1762867,-.8095479,.18572079
1,(36),m2,63,1,2016nov10 18:49:39.908,53149,736,5,1,-123.42774,433.22177,-556.64941,24.378149,.20510171,.22543366
1,(36),m2,63,1,2016nov10 21:18:56.523,53172,758,20,-1,-148.56903,433.22177,-581.79065,-25.141287,-.79550421,.18456946
1,(36),m2,63,1,2016nov10 21:59:10.748,53197,819,10,1,-103.4731,478.31772,-581.79065,45.095936,.22174947,.26216793
1,(36),m2,63,1,2016nov10 22:03:30.863,53205,819,10,1,-69.743156,512.04767,-581.79065,33.729942,.29647249,.33238193
1,(36),m2,63,1,2016nov10 22:04:47.958,53208,832,10,-1,-84.372131,512.04767,-596.41968,-14.628978,-.68357474,.3007516
1,(36),m2,63,1,2016nov10 22:06:09.873,53214,819,80,1,78.059082,674.47888,-596.41968,162.43121,.49251619,.68580747
1,(36),m2,63,1,2016nov10 22:06:43.850,53217,819,-97.910004,-1,-163.16772,433.2518,-596.41968,-241.22681,-.40588361,.16360073
1,(36),m2,63,1,2016nov10 22:07:36.001,53220,819,30,1,-48.793488,547.62604,-596.41968,114.37424,.26229683,.38038018
1,(36),m2,63,1,2016nov10 22:09:56.573,53224,832,8,-1,-61.405323,547.62604,-609.03149,-12.611835,-.63432485,.35113516
1,(36),m2,63,1,2016nov10 22:11:10.393,53228,727,5,1,-47.77623,561.25513,-609.03149,13.629093,.36686227,.38278067
1,(36),m2,63,1,2016nov10 22:15:07.795,53241,776,17.5,-1,-74.767593,561.25513,-636.02283,-26.991364,-.64835554,.32132789
1,(36),m2,63,1,2016nov10 22:19:39.686,53243,727,6,1,-57.167381,578.85535,-636.02283,17.600214,.34090495,.36085069
1,(36),m2,63,1,2016nov10 22:23:29.255,53251,810,4,-1,-63.356983,578.85535,-642.21246,-6.1896005,-.64624524,.34670153
