study,sref,mid,treatment,m2_p,m3_p,m3_p1,m3_p2,m3_p3,m2_b,m3_b,m3_b1,m3_b2,m3_b3,type_os,stat_os,n_os,in_os,r_os,r95l_os,r95u_os,r33_os,rr33_os,p_os,type_rs1,stat_rs1,n_rs1,in_rs1,r_rs1,r95l_rs1,r95u_rs1,r90l_rs1,r90u_rs1,rr_rs1,rr95l_rs1,rr95u_rs1,rr90l_rs1,rr90u_rs1,rm_rs1,rm95l_rs1,rm95u_rs1,rrm_rs1,rrm95l_rs1,rrm95u_rs1,rp95l_rs1,rp95u_rs1,rrp95l_rs1,rrp95u_rs1,p_rs1,pm_rs1,pow_rs1,rep_sr_rs1,rep_mr_rs1,rep_st_rs1,rep_pi_rs1,type_rs2,stat_rs2,n_rs2,in_rs2,r_rs2,r95l_rs2,r95u_rs2,r90l_rs2,r90u_rs2,rr_rs2,rr95l_rs2,rr95u_rs2,rr90l_rs2,rr90u_rs2,rm_rs2,rm95l_rs2,rm95u_rs2,rrm_rs2,rrm95l_rs2,rrm95u_rs2,rp95l_rs2,rp95u_rs2,rrp95l_rs2,rrp95u_rs2,p_rs2,pm_rs2,pow_rs2,rep_sr_rs2,rep_mr_rs2,rep_st_rs2,rep_pi_rs2,type_rp,stat_rp,n_rp,in_rp,r_rp,r95l_rp,r95u_rp,r90l_rp,r90u_rp,rr_rp,rr95l_rp,rr95u_rp,rr90l_rp,rr90u_rp,rm_rp,rm95l_rp,rm95u_rp,rrm_rp,rrm95l_rp,rrm95u_rp,rp95l_rp,rp95u_rp,rrp95l_rp,rrp95u_rp,bfP0_rp,bfR0_rp,ar_rp,p_rp,pm_rp,pow_rp,rep_sr_rp,rep_mr_rp,rep_st_rp,rep_pi_rp,rep_bf_rp
11,(46),71,m2,.3877227,,,,,.368,,,,,"F(1,82)",6.4000001,86,86,.26906911,.06065147,.45500499,.1653,.61434031,.013326087,"F(1,281)",-1.2078,285,285,-.06570217,-.18051125,.050873242,-.16229859,.032141577,-.24418326,-.67087322,.18907128,-.60318553,.11945473,.011894339,-.09044645,.11398654,.044205517,-.33614579,.42363298,.031095339,.47817424,.11556637,1.7771429,.27270898,.82010901,.92282182,0,0,0,0,"F(1,710)",-.52700001,714,714,-.027254447,-.10042592,.046210259,-.08871419,.034412038,-.10129163,-.37323469,.17174123,-.32970783,.12789294,.0044252458,-.065039307,.073847115,.016446503,-.24171971,.27445409,.048477449,.46463361,.18016727,1.7268189,.46811008,.90073377,.94262993,0,0,0,0,"F(1,710)",-.52700001,714,714,-.027254447,-.10042592,.046210259,-.08871419,.034412038,-.10129163,-.37323469,.17174123,-.32970783,.12789294,.0044252458,-.065039307,.073847115,.016446503,-.24171971,.27445409,.048477449,.46463361,.18016727,1.7268189,.050000001,.0099999998,.23692,.46811008,.90073377,.94262993,0,0,0,0,0
12,(47),72,m2,.4695476,,,,,.39721739,,,,,t(23),2.4200001,24,24,.45049948,.057563841,.72258145,.31619999,.70188761,.023826132,t(94),7.0152001,95,95,.58620399,.43619543,.70451218,.46241212,.68757981,1.3012313,.96824849,1.5638468,1.0264432,1.5262611,.56298792,.4242135,.67592609,1.2496972,.94165146,1.5003927,.011320367,.74397904,.02512848,1.6514537,3.4974035e-10,4.7632287e-11,.92331564,1,1,1,1,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t(94),7.0152001,95,95,.58620399,.43619543,.70451218,.46241212,.68757981,1.3012313,.96824849,1.5638468,1.0264432,1.5262611,.56298792,.4242135,.67592609,1.2496972,.94165146,1.5003927,.011320367,.74397904,.02512848,1.6514537,55700000,132389304,.99931902,3.4974035e-10,4.7632287e-11,.92331564,1,1,1,1,1
13,(48),73,m2,.23225467,,,,,.23026088,,,,,"F(1,38)",6.7399998,40,40,.38813424,.08716362,.62417608,.24339999,.62710261,.013330429,"F(1,121)",-.56209999,123,123,-.068316437,-.24241889,.11004888,-.21516128,.081549391,-.1760124,-.62457484,.28353304,-.55434757,.21010615,.044203613,-.11172138,.19800434,.11388744,-.28784212,.51014394,.041019939,.6516493,.10568493,1.6789277,.45487058,.5788784,.90355974,0,0,0,0,"F(1,284)",-.6081,286,286,-.046322692,-.16143879,.070037045,-.14314242,.051375259,-.11934709,-.41593546,.18044542,-.36879617,.13236466,.0063641137,-.10283629,.11541294,.016396683,-.26495031,.29735315,.066868685,.63648003,.17228237,1.6398451,.43615347,.90928942,.90138513,0,0,0,0,"F(1,284)",-.6081,286,286,-.046322692,-.16143879,.070037045,-.14314242,.051375259,-.11934709,-.41593546,.18044542,-.36879617,.13236466,.0063641137,-.10283629,.11541294,.016396683,-.26495031,.29735315,.066868685,.63648003,.17228237,1.6398451,.079999998,.0099999998,.115959,.43615347,.90928942,.90138513,0,0,0,0,0
14,(49),74,m2,.49848986,,,,,.4086087,,,,,t(30),2.7839999,32,32,.45311347,.12401335,.69240832,.2728,.60205668,.0092059383,t(87),3.5383999,89,89,.3546918,.15811451,.52422559,.1910546,.49914721,.78278804,.34895125,1.1569411,.42164847,1.1015943,.38038471,.21436466,.52504313,.83949107,.47309268,1.1587454,.067636989,.72088355,.14927164,1.5909559,.00064856268,.000021482021,.90368599,1,1,1,1,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t(87),3.5383999,89,89,.3546918,.15811451,.52422559,.1910546,.49914721,.78278804,.34895125,1.1569411,.42164847,1.1015943,.38038471,.21436466,.52504313,.83949107,.47309268,1.1587454,.067636989,.72088355,.14927164,1.5909559,86.870003,157.85001,.98818702,.00064856268,.000021482021,.90368599,1,1,1,1,1
15,(50),60,m2,.70500094,,,,,.61139131,,,,,t(198),2.881,200,366,.2005827,.06361194,.33013633,.1082,.53942835,.0044010379,t(478),2.5543001,480,792,.11604169,.02681978,.20342937,.041230738,.18955879,.57852292,.13370934,1.014192,.20555481,.94504058,.14098379,.066336624,.21406162,.70287114,.33071956,1.0671989,.037330791,.35340646,.18611172,1.761899,.010949132,.00023332062,.91152465,1,1,1,1,n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,t(478),2.5543001,480,792,.11604169,.02681978,.20342937,.041230738,.18955879,.57852292,.13370934,1.014192,.20555481,.94504058,.14098379,.066336624,.21406162,.70287114,.33071956,1.0671989,.037330791,.35340646,.18611172,1.761899,7.0500002,7.77,.82038498,.010949132,.00023332062,.91152465,1,1,1,1,1
16,(51),75,m2,.74065506,,,,,.4538261,,,,,t(34),2.3699999,36,36,.37653738,.054778013,.62745339,.25690001,.68226963,.023603488,t(130),1.7119,132,132,.1484793,-.022976071,.31144994,.0047637695,.28618538,.39432818,-.061019361,.82714218,.012651518,.76004505,.19716826,.045763258,.33971816,.52363527,.12153709,.90221632,.013674431,.65176576,.036316264,1.7309457,.089299656,.011136488,.90350413,0,1,1,1,t(304),2.6403999,306,306,.14973016,.03824874,.25753021,.056310393,.24055091,.39765018,.1015802,.68394327,.14954795,.63884997,.17317896,.067912564,.27463204,.459925,.18036075,.72936195,.036717027,.63830268,.097512305,1.6951908,.0087084388,.0013694903,.90116566,1,1,0,1,t(304),2.6403999,306,306,.14973016,.03824874,.25753021,.056310393,.24055091,.39765018,.1015802,.68394327,.14954795,.63884997,.17317896,.067912564,.27463204,.459925,.18036075,.72936195,.036717027,.63830268,.097512305,1.6951908,6.8299999,4.04,.78828102,.0087084388,.0013694903,.90116566,1,1,0,1,1
17,(52),76,m2,.56039166,,,,,.42295653,,,,,"F(1,18)",30.530001,20,20,.79315537,.54025882,.91464645,.3475,.43812349,.000030215393,"F(1,24)",-.13519999,26,52,-.075267836,-.44951412,.32145619,-.39556998,.26135781,-.094896711,-.56674159,.4052878,-.4987295,.32951653,.39320782,.10529957,.62029618,.49575132,.13276033,.7820614,.42435735,.93625003,.53502423,1.1804119,.71632314,.0090950103,.92870486,0,1,0,0,"F(1,77)",-.73519999,79,131,-.09818399,-.31250995,.12565431,-.27953628,.089932688,-.1237891,-.39400849,.15842332,-.35243571,.11338597,.11637246,-.086122818,.3096343,.14672089,-.10858253,.39038292,.50353932,.92252618,.63485587,1.1631091,.39386377,.25884825,.94863671,0,0,0,0,"F(1,77)",-.73519999,79,131,-.09818399,-.31250995,.12565431,-.27953628,.089932688,-.1237891,-.39400849,.15842332,-.35243571,.11338597,.11637246,-.086122818,.3096343,.14672089,-.10858253,.39038292,.50353932,.92252618,.63485587,1.1631091,.14,0,.0018889999,.39386377,.25884825,.94863671,0,0,0,0,0
18,(53),62,m2,.40099719,,,,,.51269567,,,,,z,2.6170001,343,343,.14098142,.035617713,.24324539,.082599998,.5858928,.0088706343,z,.90390003,1014,1014,.028420247,-.033201292,.089826532,-.023298977,.079987749,.2015886,-.23550119,.63715154,-.16526274,.56736374,.056930017,.0036679076,.10987003,.4038122,.026016956,.77932274,.019050246,.25878054,.13512594,1.8355649,.36604843,.03620629,.91996688,0,1,0,1,z,1.1912,2136,2136,.025786534,-.016643992,.068124354,-.0098223407,.061330091,.18290733,-.11805805,.48321512,-.069671169,.4350225,.041734729,.0023462952,.080993861,.29602998,.016642584,.57450026,.027467353,.25090581,.1948296,1.7797084,.23357508,.037842926,.9013021,0,1,0,0,z,1.1912,2136,2136,.025786534,-.016643992,.068124354,-.0098223407,.061330091,.18290733,-.11805805,.48321512,-.069671169,.4350225,.041734729,.0023462952,.080993861,.29602998,.016642584,.57450026,.027467353,.25090581,.1948296,1.7797084,.14,.1,.57259297,.23357508,.037842926,.9013021,0,1,0,0,0
19,(54),77,m2,.3811076,,,,,.35704347,,,,,"F(1,54)",4.1599998,56,56,.267445,.0048881602,.49550581,.2053,.76763451,.046294663,"F(1,276)",-2.0862999,278,278,-.087273322,-.20283382,.030684723,-.18454543,.011691957,-.3263225,-.7584132,.11473283,-.69003135,.043717239,-.029057518,-.13643055,.078990303,-.10864858,-.51012564,.29535159,-.019910023,.51398653,-.0744453,1.9218401,.1497599,1.4013356,.91621095,0,0,0,0,"F(1,617)",-.1389,619,619,-.01500574,-.093700387,.063875251,-.081101388,.051221307,-.056107763,-.35035387,.2388351,-.3032451,.1915209,.0078975903,-.067774773,.083479606,.029529775,-.25341573,.31213748,-.0064545437,.50401551,-.024134098,1.8845576,.70950502,.83807921,.90845823,0,0,0,0,"F(1,617)",-.1389,619,619,-.01500574,-.093700387,.063875251,-.081101388,.051221307,-.056107763,-.35035387,.2388351,-.3032451,.1915209,.0078975903,-.067774773,.083479606,.029529775,-.25341573,.31213748,-.0064545437,.50401551,-.024134098,1.8845576,.07,.039999999,.272724,.70950502,.83807921,.90845823,0,0,0,0,0
20,(55),78,m2,.50946176,,,,,.44208696,,,,,t(68),3.26,69,69,.36764622,.14344758,.555951,.1847,.50238514,.0017421179,t(103),1.1214,104,104,.10982642,-.08455015,.29615068,-.053347152,.26728743,.29872853,-.22997694,.80553168,-.14510459,.72702348,.21568182,.067354098,.35468197,.58665591,.18320356,.96473718,.075332955,.60177261,.20490611,1.6368252,.26472527,.0047321459,.82028085,0,1,1,1,t(233),.7579,234,234,.049590591,-.079158895,.17671278,-.058525164,.15655652,.13488671,-.21531269,.48065987,-.15918881,.42583472,.12367652,.010583909,.2336451,.3364009,.028788298,.63551611,.11167365,.5778681,.30375302,1.5718049,.44927672,.032239757,.80730575,0,1,0,0,t(233),.7579,234,234,.049590591,-.079158895,.17671278,-.058525164,.15655652,.13488671,-.21531269,.48065987,-.15918881,.42583472,.12367652,.010583909,.2336451,.3364009,.028788298,.63551611,.11167365,.5778681,.30375302,1.5718049,.15000001,.029999999,.265333,.44927672,.032239757,.80730575,0,1,0,0,0
